,url,paragraph_index,paragraph_text
0,https://www.eznetsoft.com/index.php/about-us/privacy-policy,0.0,"Privacy Policy  & Term of Use (Last updated Sept 24th, 2021)Overview"
1,https://www.eznetsoft.com/index.php/about-us/privacy-policy,1.0,Samuel J or Eznetsoft is committed to protecting your personal information and respecting your privacy. Please read our entire policy.
2,https://www.eznetsoft.com/index.php/about-us/privacy-policy,2.0,"In general, you can visit us on the Web without telling us who you are or revealing any information about yourself."
3,https://www.eznetsoft.com/index.php/about-us/privacy-policy,3.0,"Samuel J or Eznetsoft will not sell, rent or disclose your personally identifiable information to outside parties without your consent unless compelled by law or court order to do so. With your permission, Samuel J or Eznetsoft may send you e-mail regarding our new products, upgrades. In any case, we do not disclose your personally identifiable information to such third parties. Please see below regarding how our privacy policy applies when you purchase third party products on our Web Site."
4,https://www.eznetsoft.com/index.php/about-us/privacy-policy,4.0,"Information that we gather and track, in accordance with the GDPR.Our Mobile Apps will NEVER Collect and share your personal information with Third-parties without your Explicit consent."
5,https://www.eznetsoft.com/index.php/about-us/privacy-policy,5.0,There are times when we may need to collect information from you through our Web Site. This generally involves filling out forms so you can download or order a Samuel J or Eznetsoft or third party product from our Web Site. When you download the products we require you to fill out a form with your name and email address.
6,https://www.eznetsoft.com/index.php/about-us/privacy-policy,6.0,"Samuel J or Eznetsoft uses various methods to collect certain other kinds of information, including:"
7,https://www.eznetsoft.com/index.php/about-us/privacy-policy,7.0,"Device Information, Cookies, Referers, IP addresses, System information"
8,https://www.eznetsoft.com/index.php/about-us/privacy-policy,8.0,"None of these methods can be personally identified with you with the exception of cookies, which can optionally store information that you may enter in forms on our Web Site, as described below."
9,https://www.eznetsoft.com/index.php/about-us/privacy-policy,9.0,Samuel J or Eznetsoft may use Globally Unique Identifiers (GUIDs) to notify us of the installation of one of our products.
10,https://www.eznetsoft.com/index.php/about-us/privacy-policy,10.0,"A Device, may be your Windows Tablet or Android Phone or IOS Device; information we may gather would be device type, screen resolution, RAM size."
11,https://www.eznetsoft.com/index.php/about-us/privacy-policy,11.0,"A ""cookie"" is an element of data that a Web Site can send to your browser, which may then store it on your system. It can be used to provide you with tailored user experience. Some Samuel J or Eznetsoft pages use cookies. Cookies are used to better personalize the content, banners and promotions that you and other users will see. We may use the information to research and understand how our users’ habits in the aggregate are similar or different so that we can enhance your experience on Samuel J or Eznetsoft sites and with our products. With your consent, cookies can optionally store information from forms that you fill out on our site so that next time you visit, you do not have to re-enter this information. For example, this would allow you to enter your zip code so that next time you visit, you can automatically see local content from your area. You can set your browser to notify you when you receive a cookie, giving you the chance to decide whether or not to accept it. Samuel J or Eznetsoft does not require that you accept cookies."
12,https://www.eznetsoft.com/index.php/about-us/privacy-policy,12.0,"A ""referrer"" is the information passed along by a web browser that references the Web URL you linked from, and is automatically collected by our Web server. This information is collected and used by Samuel J or Eznetsoft to understand the web sites referring traffic to our download pages and to present appropriate content to our potential customers. Referrer information is tabulated by Samuel J or Eznetsoft on an aggregated basis to identify general trends and traffic patterns."
